name,rarity,color_identity,owned_qty,text,mana_cost
Thieving Otter,common,['U'],3,"Whenever this creature deals damage to an opponent, draw a card.",{2}{U}
Dead Weight,common,['B'],1,"Enchant creature
Enchanted creature gets -2/-2.",{B}
Skeleton Archer,common,['B'],2,"When this creature enters, it deals 1 damage to any target.",{3}{B}
Scorching Dragonfire,common,['R'],4,"Scorching Dragonfire deals 3 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead.",{1}{R}
Bloodfell Caves,common,"['B', 'R']",4,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {R}.",
Dismal Backwater,common,"['B', 'U']",4,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",
Swiftwater Cliffs,common,"['R', 'U']",4,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {R}.",
Into the Roil,common,['U'],2,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Return target nonland permanent to its owner's hand. If this spell was kicked, draw a card.",{1}{U}
Feed the Swarm,common,['B'],1,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,{1}{B}
Highborn Vampire,common,['B'],1,,{3}{B}
Marauding Blight-Priest,common,['B'],3,"Whenever you gain life, each opponent loses 1 life.",{2}{B}
Axgard Cavalry,common,['R'],4,{T}: Target creature gains haste until end of turn. (It can attack and {T} this turn.),{1}{R}
Armored Whirl Turtle,common,['U'],3,,{2}{U}
Cloudkin Seer,common,['U'],3,"Flying
When this creature enters, draw a card.",{2}{U}
Frilled Sea Serpent,common,['U'],1,{5}{U}{U}: This creature can't be blocked this turn.,{4}{U}{U}
Glint,common,['U'],2,Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),{1}{U}
Octoprophet,common,['U'],2,"When this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",{3}{U}
Overflowing Insight,mythic,['U'],1,Target player draws seven cards.,{4}{U}{U}{U}
Riddlemaster Sphinx,rare,['U'],2,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When this creature enters, you may return target creature an opponent controls to its owner's hand.",{4}{U}{U}
River's Favor,common,['U'],2,"Enchant creature
Enchanted creature gets +1/+1.",{U}
Sleep,uncommon,['U'],1,Tap all creatures target player controls. Those creatures don't untap during that player's next untap step.,{2}{U}{U}
Soulblade Djinn,rare,['U'],2,"Flying
Whenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn.",{3}{U}{U}
Sworn Guardian,common,['U'],2,,{1}{U}
Unsummon,common,['U'],2,Return target creature to its owner's hand.,{U}
