Name,Type,Power,Toughness,Mana Cost,Colors,Text,Quantity,Standard Legal
Dead Weight,Enchantment — Aura,,,{B},B,"Enchant creature
Enchanted creature gets -2/-2.",1,True
Skeleton Archer,Creature — Skeleton Archer,3.0,3.0,{3}{B},B,"When this creature enters, it deals 1 damage to any target.",3,True
Thrashing Brontodon,Creature — Dinosaur,3.0,4.0,{1}{G}{G},G,"{1}, Sacrifice this creature: Destroy target artifact or enchantment.",2,True
Jungle Hollow,Land,,,,"B,G","This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",16,True
Feed the Swarm,Sorcery,,,{1}{B},B,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,1,True
Highborn Vampire,Creature — Vampire Warrior,4.0,3.0,{3}{B},B,,1,True
Marauding Blight-Priest,Creature — Vampire Cleric,3.0,2.0,{2}{B},B,"Whenever you gain life, each opponent loses 1 life.",4,True
Rabid Bite,Sorcery,,,{1}{G},G,Target creature you control deals damage equal to its power to target creature you don't control.,8,True
Murder,Instant,,,{1}{B}{B},B,Destroy target creature.,8,True
Affectionate Indrik,Creature — Beast,4.0,4.0,{5}{G},G,"When this creature enters, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)",2,True
Gigantosaurus,Creature — Dinosaur,10.0,10.0,{G}{G}{G}{G}{G},G,,2,True
Vampire Spawn,Creature — Vampire,2.0,3.0,{2}{B},B,"When this creature enters, each opponent loses 2 life and you gain 2 life.",3,True
Duress,Sorcery,,,{B},B,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",5,True
Eaten Alive,Sorcery,,,{B},B,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",8,True
Hero's Downfall,Instant,,,{1}{B}{B},B,Destroy target creature or planeswalker.,7,True
Fake Your Own Death,Instant,,,{1}{B},B,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",9,True
Broken Wings,Instant,,,{2}{G},G,"Destroy target artifact, enchantment, or creature with flying.",8,True
Venom Connoisseur,Creature — Human Druid,2.0,2.0,{1}{G},G,"Alliance — Whenever another creature you control enters, this creature gains deathtouch until end of turn. If this is the second time this ability has resolved this turn, all creatures you control gain deathtouch until end of turn.",4,True
Battlefly Swarm,Creature — Phyrexian Insect,1.0,1.0,{B},B,"Flying
{B}: This creature gains deathtouch until end of turn.",2,True
Bone Splinters,Sorcery,,,{B},B,"As an additional cost to cast this spell, sacrifice a creature.
Destroy target creature.",1,True
Braids's Frightful Return,Enchantment — Saga,,,{2}{B},B,"Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.)
I — You may sacrifice a creature. If you do, each opponent discards a card.
II — Return target creature card from your graveyard to your hand.
III — Target opponent may sacrifice a nonland, nontoken permanent of their choice. If they don't, they lose 2 life and you draw a card.",2,True
Cult Conscript,Creature — Skeleton Warrior,2.0,1.0,{B},B,"This creature enters tapped.
{1}{B}: Return this card from your graveyard to the battlefield. Activate only if a non-Skeleton creature died under your control this turn.",4,True
Cut Down,Instant,,,{B},B,Destroy target creature with total power and toughness 5 or less.,1,True
Eerie Soultender,Creature — Spirit Cleric,3.0,1.0,{2}{B},B,"When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)
{4}{B}, Exile this card from your graveyard: Return another target creature card from your graveyard to your hand.",1,True
Gibbering Barricade,Creature — Nightmare Wall,2.0,4.0,{2}{B},B,"Defender
{2}{B}, Sacrifice a creature: You gain 1 life and draw a card.",2,True
Phyrexian Vivisector,Creature — Phyrexian Human,2.0,2.0,{1}{B},B,"Whenever a creature you control dies, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",2,True
The Raven Man,Legendary Creature — Human Wizard,2.0,1.0,{1}{B},B,"At the beginning of each end step, if a player discarded a card this turn, create a 1/1 black Bird creature token with flying and ""This token can't block.""
{3}{B}, {T}: Each opponent discards a card. Activate only as a sorcery.",1,True
Sengir Connoisseur,Creature — Vampire,3.0,3.0,{3}{B}{B},B,"Flying
Whenever one or more other creatures die, put a +1/+1 counter on this creature. This ability triggers only once each turn.",2,True
Shadow Prophecy,Instant,,,{2}{B},B,"Domain — Look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to two of them into your hand and the rest into your graveyard. You lose 2 life.",1,True
Urborg Repossession,Sorcery,,,{B},"B,G","Kicker {1}{G} (You may pay an additional {1}{G} as you cast this spell.)
Return target creature card from your graveyard to your hand. You gain 2 life. If this spell was kicked, return another target permanent card from your graveyard to your hand.",3,True
Bite Down,Instant,,,{1}{G},G,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.,5,True
Defiler of Vigor,Creature — Phyrexian Wurm,6.0,6.0,{3}{G}{G},G,"Trample
As an additional cost to cast green permanent spells, you may pay 2 life. Those spells cost {G} less to cast if you paid life this way. This effect reduces only the amount of green mana you pay.
Whenever you cast a green permanent spell, put a +1/+1 counter on each creature you control.",1,True
Linebreaker Baloth,Creature — Beast,4.0,5.0,{3}{G}{G},G,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)
This creature can't be blocked by creatures with power 2 or less.",1,True
Llanowar Loamspeaker,Creature — Elf Druid,1.0,3.0,{1}{G},G,"{T}: Add one mana of any color.
{T}: Target land you control becomes a 3/3 Elemental creature with haste until end of turn. It's still a land. Activate only as a sorcery.",1,True
Magnigoth Sentry,Creature — Treefolk,4.0,4.0,{3}{G},G,Reach (This creature can block creatures with flying.),3,True
Quirion Beastcaller,Creature — Dryad Warrior,2.0,2.0,{1}{G},G,"Whenever you cast a creature spell, put a +1/+1 counter on this creature.
When this creature dies, distribute X +1/+1 counters among any number of target creatures you control, where X is the number of +1/+1 counters on this creature.",1,True
Tear Asunder,Instant,,,{1}{G},"B,G","Kicker {1}{B} (You may pay an additional {1}{B} as you cast this spell.)
Exile target artifact or enchantment. If this spell was kicked, exile target nonland permanent instead.",4,True
Threats Undetected,Sorcery,,,{2}{G},G,Search your library for up to four creature cards with different powers and reveal them. An opponent chooses two of those cards. Shuffle the chosen cards into your library and put the rest into your hand.,1,True
"Ashnod, Flesh Mechanist",Legendary Creature — Human Artificer,1.0,1.0,{B},B,"Deathtouch
Whenever Ashnod attacks, you may sacrifice another creature. If you do, create a tapped Powerstone token.
{5}, Exile a creature card from your graveyard: Create a tapped 3/3 colorless Zombie artifact creature token.",1,True
Ashnod's Intervention,Instant,,,{B},B,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies or is put into exile from the battlefield, return it to its owner's hand.""",2,True
Battlefield Butcher,Creature — Human Soldier,1.0,4.0,{2}{B},B,"{5}, {T}: Each opponent loses 2 life. This ability costs {1} less to activate for each creature card in your graveyard.",1,True
Disfigure,Instant,,,{B},B,Target creature gets -2/-2 until end of turn.,1,True
Dreams of Steel and Oil,Sorcery,,,{B},B,"Target opponent reveals their hand. You choose an artifact or creature card from it, then choose an artifact or creature card from their graveyard. Exile the chosen cards.",1,True
"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,3.0,3.0,{1}{B}{B},B,"Whenever a creature deals combat damage to one of your opponents, its controller may pay 1 life. If they do, they draw a card.
{4}{B}{B}{B}, Discard X cards: Exile the top X cards of target opponent's library. You may play lands and cast spells from among cards exiled this way without paying their mana costs.",1,True
Gix's Command,Sorcery,,,{3}{B}{B},B,"Choose two —
• Put two +1/+1 counters on up to one creature. It gains lifelink until end of turn.
• Destroy each creature with power 2 or less.
• Return up to two creature cards from your graveyard to your hand.
• Each opponent sacrifices a creature with the greatest power among creatures they control.",1,True
Gixian Infiltrator,Creature — Phyrexian Human,2.0,1.0,{1}{B},B,"Whenever you sacrifice another permanent, put a +1/+1 counter on this creature.",3,True
Gixian Skullflayer,Creature — Phyrexian Human Assassin,2.0,3.0,{2}{B},B,"At the beginning of your upkeep, if there are three or more creature cards in your graveyard, put a +1/+1 counter on this creature.",1,True
Go for the Throat,Instant,,,{1}{B},B,Destroy target nonartifact creature.,4,True
Gurgling Anointer,Creature — Phyrexian Horror,1.0,3.0,{2}{B},B,"Flying
Whenever you draw your second card each turn, put a +1/+1 counter on this creature.
When this creature dies, return another target creature card with mana value less than or equal to this creature's power from your graveyard to the battlefield.",1,True
Kill-Zone Acrobat,Creature — Human Soldier,3.0,2.0,{2}{B},B,"Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, this creature gains flying until end of turn.",1,True
Overwhelming Remorse,Instant,,,{4}{B},B,"This spell costs {1} less to cast for each creature card in your graveyard.
Exile target creature or planeswalker.",2,True
Powerstone Fracture,Sorcery,,,{1}{B},B,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Destroy target creature or planeswalker.",3,True
Ravenous Gigamole,Creature — Mole Horror,2.0,3.0,{3}{B},B,"When this creature enters, mill three cards. You may put a creature card from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on this creature. (To mill a card, put the top card of your library into your graveyard.)",3,True
Trench Stalker,Creature — Beast Horror,4.0,5.0,{4}{B},B,"As long as you've drawn two or more cards this turn, this creature has deathtouch and lifelink.",2,True
Ashnod's Harvester,Artifact Creature — Construct,3.0,1.0,{2},B,"Whenever this creature attacks, exile target card from a graveyard.
Unearth {1}{B} ({1}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",1,True
Dredging Claw,Artifact — Equipment,,,{2},B,"Equipped creature gets +1/+0 and has menace. (It can't be blocked except by two or more creatures.)
Whenever a creature enters from your graveyard, you may attach this Equipment to it.
Equip {1}{B} ({1}{B}: Attach to target creature you control. Equip only as a sorcery.)",1,True
Goring Warplow,Artifact Creature — Construct,5.0,4.0,{6},B,"Prototype {1}{B} — 1/1 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Deathtouch",1,True
Scrapwork Rager,Artifact Creature — Phyrexian Horror,2.0,2.0,{4},B,"When this creature enters, you draw a card and you lose 1 life.
Unearth {3}{B} ({3}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",1,True
Argothian Opportunist,Creature — Human Scout,3.0,2.0,{2}{G},G,"When this creature enters, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",1,True
Audacity,Enchantment — Aura,,,{G},G,"Enchant creature
Enchanted creature gets +2/+0 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)
When this Aura is put into a graveyard from the battlefield, draw a card.",1,True
Blanchwood Prowler,Creature — Elemental,1.0,1.0,{1}{G},G,"When this creature enters, mill three cards. You may put a land card from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on this creature. (To mill a card, put the top card of your library into your graveyard.)",3,True
Burrowing Razormaw,Creature — Beast,4.0,2.0,{2}{G},G,"When this creature dies, mill four cards. (Put the top four cards of your library into your graveyard.)",2,True
Bushwhack,Sorcery,,,{G},G,"Choose one —
• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)",6,True
Citanul Stalwart,Creature — Elf Druid Soldier,1.0,1.0,{G},G,"{T}, Tap an untapped artifact or creature you control: Add one mana of any color.",3,True
Epic Confrontation,Sorcery,,,{1}{G},G,Target creature you control gets +1/+2 until end of turn. It fights target creature you don't control. (Each deals damage equal to its power to the other.),3,True
Fog of War,Instant,,,{2}{G},G,You gain 1 life for each creature on the battlefield. Prevent all combat damage that would be dealt this turn by creatures with power 3 or less.,3,True
Gaea's Gift,Instant,,,{1}{G},G,"Put a +1/+1 counter on target creature you control. It gains reach, trample, hexproof, and indestructible until end of turn. (It can't be the target of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy it.)",1,True
Giant Growth,Instant,,,{G},G,Target creature gets +3/+3 until end of turn.,5,True
Perimeter Patrol,Creature — Human Soldier,3.0,3.0,{2}{G},G,"Whenever an artifact you control enters, this creature gets +1/+0 until end of turn.",1,True
Sarinth Steelseeker,Creature — Human Artificer Scout,1.0,2.0,{1}{G},G,"Whenever an artifact you control enters, look at the top card of your library. If it's a land card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.",1,True
Shoot Down,Sorcery,,,{3}{G},G,"Exile target artifact, enchantment, or creature with flying.",1,True
Tawnos's Tinkering,Instant,,,{3}{G},G,"Put two +1/+1 counters on target artifact, creature, or land you control. Untap that permanent. If it isn't a creature, it becomes a 0/0 creature in addition to its other types.",1,True
