Name,Colors,Set,Rarity,Type,Owned Qty
Pacifism,W,,common,Enchantment — Aura,3
Pariah,W,,rare,Enchantment — Aura,1
Serra Angel,W,,rare,Creature — Angel,4
Arcanis the Omnipotent,U,,rare,Legendary Creature — Wizard,1
Unsummon,U,,common,Instant,2
Nightmare,B,,rare,Creature — Nightmare Horse,1
Scathe Zombies,B,,common,Creature — Zombie,4
Sengir Vampire,B,,rare,Creature — Vampire,3
Pyroclasm,R,,uncommon,Sorcery,1
Raging Goblin,R,,common,Creature — Goblin Berserker,2
Shivan Dragon,R,,rare,Creature — Dragon,1
Shock,R,,common,Instant,2
Commune with Nature,G,,common,Sorcery,2
Giant Growth,G,,common,Instant,2
Llanowar Elves,G,,common,Creature — Elf Druid,4
Overrun,G,,uncommon,Sorcery,1
Rampant Growth,G,,common,Sorcery,1
Juggernaut,,,uncommon,Artifact Creature — Juggernaut,1
Ornithopter,,,uncommon,Artifact Creature — Thopter,1
Battlefield Forge,"R,W",,rare,Land,1
Caves of Koilos,"B,W",,rare,Land,1
Llanowar Wastes,"B,G",,rare,Land,1
Shivan Reef,"R,U",,rare,Land,1
Sulfurous Springs,"B,R",,rare,Land,1
Terramorphic Expanse,,,common,Land,3
Yavimaya Coast,"G,U",,rare,Land,1
Disenchant,W,,common,Instant,1
Savannah Lions,W,,rare,Creature — Cat,4
Raise Dead,B,,common,Sorcery,3
Dragon Whelp,R,,uncommon,Creature — Dragon,2
Hurloon Minotaur,R,,common,Creature — Minotaur,4
Shatter,R,,common,Instant,2
Doomed Traveler,W,,common,Creature — Human Soldier,1
Smothering Tithe,W,,rare,Enchantment,1
Ingenious Skaab,U,,common,Creature — Zombie Horror,1
Spell Pierce,U,,common,Instant,1
Bitterblossom,B,,mythic,Kindred Enchantment — Faerie,1
Blood Artist,B,,uncommon,Creature — Vampire,1
Disfigure,B,,common,Instant,1
Go for the Throat,B,,uncommon,Instant,4
Skeleton Archer,B,,common,Creature — Skeleton Archer,2
Unearth,B,,common,Sorcery,1
Vampiric Rites,B,,uncommon,Enchantment,2
Biogenic Upgrade,G,,uncommon,Sorcery,1
Experiment One,G,,common,Creature — Human Ooze,1
Hardened Scales,G,,rare,Enchantment,1
Assassin's Trophy,"B,G",,rare,Instant,1
"Aurelia, the Warleader","R,W",,mythic,Legendary Creature — Angel,1
Conclave Mentor,"G,W",,uncommon,Creature — Centaur Cleric,1
Heroic Reinforcements,"R,W",,uncommon,Sorcery,2
Lightning Helix,"R,W",,uncommon,Instant,2
"Muldrotha, the Gravetide","B,G,U",,mythic,Legendary Creature — Elemental Avatar,2
Sultai Soothsayer,"B,G,U",,uncommon,Creature — Snake Shaman,1
Thousand-Year Storm,"R,U",,rare,Enchantment,1
Archangel of Thune,W,,mythic,Creature — Angel,1
Crusader of Odric,W,,common,Creature — Human Soldier,3
Fencing Ace,W,,uncommon,Creature — Human Soldier,2
Strength of Arms,W,,common,Instant,1
Valorous Stance,W,,uncommon,Instant,2
Abrade,R,,common,Instant,3
Champion of Lambholt,G,,rare,Creature — Human Warrior,1
Doubling Season,G,,mythic,Enchantment,4
Reclamation Sage,G,,uncommon,Creature — Elf Shaman,1
Ulvenwald Mysteries,G,,uncommon,Enchantment,1
"Breya, Etherium Shaper","B,R,U,W",,mythic,Legendary Artifact Creature — Human,1
Hidden Stockpile,"B,W",,uncommon,Enchantment,1
Maelstrom Pulse,"B,G",,rare,Sorcery,1
Gleaming Barrier,,,common,Artifact Creature — Wall,4
Magnifying Glass,,,common,Artifact,4
Wurmcoil Engine,,,mythic,Artifact Creature — Phyrexian Wurm,1
Ivory Tower,,,rare,Artifact,2
Aetherize,U,,uncommon,Instant,2
Reconnaissance Mission,U,,uncommon,Enchantment,1
Cultivate,G,,common,Sorcery,1
Explore,G,,common,Sorcery,1
Harrow,G,,common,Instant,1
Inspiring Call,G,,uncommon,Instant,4
Mortify,"B,W",,uncommon,Instant,2
Arcane Signet,,,common,Artifact,4
Gilded Lotus,,,rare,Artifact,1
Command Tower,,,common,Land,4
Dismal Backwater,"B,U",,common,Land,4
Evolving Wilds,,,common,Land,1
Port Town,"U,W",,rare,Land,1
Rugged Highlands,"G,R",,common,Land,1
Scoured Barrens,"B,W",,common,Land,2
Swiftwater Cliffs,"R,U",,common,Land,4
Temple of Abandon,"G,R",,rare,Land,1
Temple of Epiphany,"R,U",,rare,Land,1
Temple of Mystery,"G,U",,rare,Land,1
Thornwood Falls,"G,U",,common,Land,2
Tranquil Cove,"U,W",,common,Land,1
Jalum Tome,,,rare,Artifact,2
Volcanic Dragon,R,,rare,Creature — Dragon,2
Volcanic Geyser,R,,uncommon,Instant,1
Sleight of Hand,U,,common,Sorcery,3
Duress,B,,common,Sorcery,4
Curiosity,U,,uncommon,Enchantment — Aura,1
Phyrexian Arena,B,,rare,Enchantment,1
Zombify,B,,uncommon,Sorcery,4
Phyrexian Gargantua,B,,uncommon,Creature — Phyrexian Horror,2
Murder,B,,common,Instant,2
Zulaport Cutthroat,B,,uncommon,Creature — Human Rogue Ally,1
Frenzied Goblin,R,,common,Creature — Goblin Berserker,2
Humble Defector,R,,uncommon,Creature — Human Rogue,1
"Azusa, Lost but Seeking",G,,rare,Legendary Creature — Human Monk,1
Colossal Dreadmaw,G,,common,Creature — Dinosaur,1
Epic Confrontation,G,,common,Sorcery,3
Plummet,G,,common,Instant,1
Utopia Sprawl,G,,uncommon,Enchantment — Aura,2
